"onBreak","seconds","endTime","startTime","activity","targetTotalHours","blockLenMinutes","breakLenMinutes","id"
false,4210,"2021-02-19T07:52:14.876Z","2021-02-19T06:41:49.607Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
true,605,"2021-02-19T08:02:21.899Z","2021-02-19T07:52:14.876Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
false,3605,"2021-02-19T09:02:38.895Z","2021-02-19T08:02:21.899Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
true,640,"2021-02-19T09:21:03.088Z","2021-02-19T09:02:38.895Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
false,3617,"2021-02-19T10:21:32.283Z","2021-02-19T09:21:03.088Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
true,597,"2021-02-19T10:31:32.442Z","2021-02-19T10:21:32.283Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
false,91,"2021-02-19T10:33:03.799Z","2021-02-19T10:31:32.442Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
true,652,"2021-02-19T11:00:37.724Z","2021-02-19T10:33:03.799Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
false,3722,"2021-02-19T12:02:51.994Z","2021-02-19T11:00:37.724Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
true,591,"2021-02-19T12:12:46.092Z","2021-02-19T12:02:51.994Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
false,3606,"2021-02-19T13:13:04.533Z","2021-02-19T12:12:46.092Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
true,1807,"2021-02-19T13:44:59.534Z","2021-02-19T13:13:04.533Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
false,3771,"2021-02-19T14:48:02.365Z","2021-02-19T13:44:59.534Z","AWS Notes","6","60","10","6bd7ee40-1255-4331-a7e2-a0c9db4a9704"
