"onBreak","seconds","endTime","startTime","activity","targetTotalHours","blockLenMinutes","breakLenMinutes","id"
false,3619,"2021-02-17T07:23:10.681Z","2021-02-17T06:22:39.839Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
true,883,"2021-02-17T07:37:55.505Z","2021-02-17T07:23:10.681Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
false,3616,"2021-02-17T08:38:23.426Z","2021-02-17T07:37:55.505Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
true,618,"2021-02-17T08:48:43.579Z","2021-02-17T08:38:23.426Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
false,3618,"2021-02-17T09:49:14.158Z","2021-02-17T08:48:43.579Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
true,506,"2021-02-17T09:57:42.592Z","2021-02-17T09:49:14.158Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
false,3614,"2021-02-17T10:58:06.174Z","2021-02-17T09:57:42.592Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
true,606,"2021-02-17T11:08:15.244Z","2021-02-17T10:58:06.174Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
false,3634,"2021-02-17T12:09:03.582Z","2021-02-17T11:08:15.244Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
true,520,"2021-02-17T12:17:45.373Z","2021-02-17T12:09:03.582Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
false,3743,"2021-02-17T13:20:19.982Z","2021-02-17T12:17:45.373Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
true,1241,"2021-02-17T13:41:07.119Z","2021-02-17T13:20:19.982Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
false,215,"2021-02-17T13:44:42.096Z","2021-02-17T13:41:07.119Z","School","5","60","10","6474aa3e-9a46-4cbc-91bb-5fdf06ff55e3"
